policy,host_writes,waf,gc_runs
greedy,1,1.000000,0
greedy,1001,1.000000,0
greedy,2001,1.000000,0
greedy,3001,1.000000,0
greedy,4001,1.000000,0
greedy,5001,1.000000,0
greedy,6001,1.000000,0
greedy,7001,1.000000,0
greedy,8001,1.000000,0
greedy,9001,1.000000,0
greedy,10001,1.000000,0
greedy,11001,1.000000,0
greedy,12001,1.000000,0
greedy,13001,1.000000,0
greedy,14001,1.000000,0
greedy,15001,1.002400,6
greedy,16001,1.011499,24
greedy,17001,1.020175,42
greedy,18001,1.029109,61
greedy,19001,1.036998,79
greedy,20001,1.045298,98
greedy,21001,1.052569,117
greedy,22001,1.058634,135
greedy,23001,1.064954,154
greedy,24001,1.070955,173
greedy,25001,1.077077,192
greedy,26001,1.083651,212
greedy,27001,1.089700,231
greedy,28001,1.096818,251
greedy,29001,1.104755,272
greedy,30001,1.112530,293
greedy,31001,1.120157,314
greedy,32001,1.127590,335
greedy,33001,1.135420,357
greedy,34001,1.142319,378
greedy,35001,1.149996,400
greedy,36001,1.157135,422
greedy,37001,1.164806,445
greedy,38001,1.172153,467
greedy,39001,1.179893,490
random,1,1.000000,0
random,1001,1.000000,0
random,2001,1.000000,0
random,3001,1.000000,0
random,4001,1.000000,0
random,5001,1.000000,0
random,6001,1.000000,0
random,7001,1.000000,0
random,8001,1.000000,0
random,9001,1.000000,0
random,10001,1.000000,0
random,11001,1.000000,0
random,12001,1.000000,0
random,13001,1.000000,0
random,14001,1.000000,0
random,15001,1.006666,7
random,16001,1.034560,30
random,17001,1.071113,56
random,18001,1.104828,82
random,19001,1.140045,110
random,20001,1.161242,134
random,21001,1.199610,165
random,22001,1.224399,192
random,23001,1.240033,217
random,24001,1.273364,249
random,25001,1.287588,274
random,26001,1.298796,299
random,27001,1.305692,322
random,28001,1.326953,352
random,29001,1.348022,382
random,30001,1.371321,414
random,31001,1.385020,442
random,32001,1.404612,474
random,33001,1.432896,510
random,34001,1.447457,540
random,35001,1.475329,578
random,36001,1.490597,610
random,37001,1.504392,641
random,38001,1.522013,675
random,39001,1.539012,709
ppo,1,1.000000,0
ppo,1001,1.000000,0
ppo,2001,1.000000,0
ppo,3001,1.000000,0
ppo,4001,1.000000,0
ppo,5001,1.000000,0
ppo,6001,1.000000,0
ppo,7001,1.000000,0
ppo,8001,1.000000,0
ppo,9001,1.000000,0
ppo,10001,1.000000,0
ppo,11001,1.000000,0
ppo,12001,1.000000,0
ppo,13001,1.000000,0
ppo,14001,1.000000,0
ppo,15001,1.004466,7
ppo,16001,1.016686,26
ppo,17001,1.238280,100
ppo,18001,1.988945,331
ppo,19001,2.923636,639
ppo,20001,4.221089,1091
ppo,21001,5.506833,1578
ppo,22001,6.833189,2120
ppo,23001,8.149950,2700
ppo,24001,9.434315,3309
ppo,25001,10.636095,3926
ppo,26001,11.883889,4599
ppo,27001,12.948891,5234
ppo,28001,14.102353,5941
ppo,29001,15.174132,6647
ppo,30001,16.161628,7347
ppo,31001,17.213412,8109
ppo,32001,18.085466,8814
ppo,33001,19.030969,9585
ppo,34001,19.859739,10322
ppo,35001,20.673266,11077
ppo,36001,21.478542,11853
ppo,37001,22.243750,12631
ppo,38001,22.892898,13364
ppo,39001,23.525166,14107
